
2023/08/07 (16:31:56) | ===> btop++ v.1.2.13
2023/08/07 (16:31:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/07 (17:45:58) | ===> btop++ v.1.2.13
2023/08/07 (17:45:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/07 (18:25:26) | ===> btop++ v.1.2.13
2023/08/07 (18:25:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/25 (10:43:17) | ===> btop++ v.1.2.13
2023/08/25 (10:43:17) | ERROR: Stall in Runner thread, restarting!

2023/10/11 (06:51:13) | ===> btop++ v.1.2.13
2023/10/11 (06:51:13) | ERROR: Stall in Runner thread, restarting!
